0.5545337337504752,0.5546014057385555,0.2943976238276994,0.2946177020789714,0.000380077578415043,0.9693864281485507,0.07490303369422152,0.10882176974114985,0.23588413504206096,0.06825632356724134,0.5645525827606992,0.5643615929022703,0.3089356257604541,0.3080427963415613,9.185112103799641e-05,0.9766032612665958,0.08937830506217112,0.1296926906426998,0.21235110036709473,0.09094538159589743,0.5576537803424374,0.5574028748445097,0.29537625115270827,0.29528528888607714,0.00029029878326316383,0.9725598349511484,0.0745152469844862,0.10909625197488221,0.23042822098283125,0.09549272160182051,0.5710105902760952,0.5706969584849433,0.30518064385876226,0.3045776185323637,9.991677894957933e-05,0.978559210806676,0.08340894309353301,0.13157465313470906,0.2105449165620313,0.09664996938782765,0.6738574883845213,0.5750336465206882,0.3435997399101776,0.5698342567336794,0.44945499244417914,0.3310070869554627,0.2360110228486207,0.2695043078113577,0.2081285519605275,0.3056342704966827,0.5479878103336986,0.3541295591341383;41
0.40944797033905134,0.41006580825347544,0.2843853190188316,0.2856324526153209,0.0005305049911438973,0.962144631296589,0.05976640041631503,0.08889399630852637,0.254929404701218,0.06537927882468209,0.4168608991723388,0.416883541235511,0.2957869316497346,0.29517834898048956,-2.2963365095842017e-05,0.9865045999051523,0.07230691328007287,0.11158792940931768,0.20111972170409645,0.09467892194481833,0.4114618158096061,0.41087803833167397,0.2832925535895866,0.2824483344762466,0.00042053995323346546,0.9693607335579364,0.05747413356590872,0.08726731814562994,0.24158839389936204,0.09771670676824318,0.42112433903352775,0.41992190476939395,0.29036176690651344,0.28804029777113244,4.7905103833703865e-05,0.9899075493430597,0.06725589946749037,0.11111876537271544,0.2105766769187364,0.09727703143171429,0.613933796627953,0.68098265381813,0.3582761634265894,0.583335926407789,0.37726252698522883,0.37837432140897387,0.3520373563482851,0.2335175610225584,0.3873348573358672,0.6165449755862406,0.6431247345282417,0.6067563827182146;43
0.5456441515177687,0.5456360597466121,0.12265295513417711,0.12266696403206015,0.012603131785888518,0.6831676743502654,0.06198700850769335,0.10232951175242906,0.4629103799056233,0.07151862151308354,0.5778256319557304,0.5776218229588215,0.1671369440485492,0.16665092628849407,0.01075673943797205,0.677541754259224,0.08503837167775222,0.13743376437445065,0.45385930417629866,0.07052179925189825,0.5535182609084685,0.5533281511478687,0.12968346907049305,0.1296809088802226,0.011967161770556995,0.6790622941970113,0.06311995755134506,0.10436075986504612,0.48138603748141195,0.09718131550004563,0.5716779093207487,0.571500248594142,0.15202487401370943,0.15187505214938207,0.009682851722692622,0.6790194245605762,0.0699624465286522,0.12265759255914697,0.4446849634477407,0.08564882721061065,0.8364671620258182,0.4594821526518823,0.3787472453541203,0.47159364864377434,0.6466899508377517,0.041149590569183,0.17903572215129518,0.07208588461959266,0.002084071089001929,0.09607262734533609,0.5727007916219617,0.22658783349173298;45
0.5918833152331184,0.5915481820287956,0.06364979499943337,0.06302225665637605,0.016810717736535905,0.6477413019859972,0.036282500142649304,0.06527384253763191,0.46445233115983797,0.22409043400210088,0.6110098173951911,0.61055821818584,0.0903184385163979,0.08924411433917497,0.014697517818292332,0.6434495017862863,0.0478118383510353,0.08455440465112941,0.47544141602329804,0.23706109222552563,0.5993116362168597,0.5992073045411455,0.06986312176971282,0.0696909231307278,0.016036882148948096,0.6451826023135366,0.037288160646248125,0.06875442525567826,0.5030138345660489,0.2646153386255232,0.6120065246675891,0.6122253316215791,0.08805046130847494,0.08837122742083821,0.012943000633226131,0.6464837867113256,0.04281842440852929,0.08070212471043396,0.4637981358589356,0.24457444873497491,0.9037582697585476,0.17200793896420138,0.5990910748482117,0.169886621867495,0.6181399037835021,0.08655118932865405,0.17887198951916453,0.11708117842892969,0.04860066317938571,0.23694864975129307,0.6694148355869781,0.41137910634907154;47
0.5732735223878574,0.573381858968065,0.07357590680789612,0.07369990077906213,0.006726858468086288,0.7793129438964529,0.003631054264600416,0.018755528846105946,0.40711709149175745,0.27349113156012,0.5736797902326648,0.5738766638558722,0.07397462501773729,0.0740068156594461,0.004991657960997781,0.7969887406558496,0.0052388172264972,0.024630532533217526,0.3751118113901433,0.36915022228612443,0.5742770403051651,0.5743700337718591,0.07189173464109132,0.07204812794685758,0.005868216729555659,0.7862159940914579,0.0038774627358518564,0.01981857753035247,0.41009549142867907,0.3673658579106257,0.5741549588338254,0.5741347838947617,0.07082419570245216,0.07076742084553357,0.00443705346782069,0.7987974674325212,0.004755993973617751,0.021867407845282273,0.37190273896796494,0.38199952363513595,0.8655084629618015,0.27934120067556517,0.4166266241579272,0.31262041569645066,0.2854151821426363,0.563710422036507,0.4827940303458239,0.4273307373497311,0.48138982965818905,0.6231675991412153,0.4216835460920532,0.6455983655651788;49
0.6672028445574408,0.6672809768914103,0.09780958339563531,0.09790803614120493,0.004008225303029953,0.838022071150324,0.0036966014782319487,0.02516199025466492,0.32795242915171907,0.2373120059383388,0.6672793123437948,0.6675393629435553,0.09713728794228103,0.09726229073099946,0.0029100565951578694,0.856228534858316,0.005518199367111407,0.033188579544325796,0.29583244040316403,0.32455161840262187,0.6679183258435405,0.6681035630385099,0.09564281295990607,0.09599279851378073,0.0034740116041137347,0.8475430456132128,0.003988444705054271,0.027037497961475764,0.3245877432479484,0.32108594870270674,0.6677589602347813,0.6678625152273221,0.09309056885488376,0.09321976726052826,0.002681003692580913,0.855424372393516,0.00497695143612272,0.030008101350641823,0.29769261119955814,0.337351099221486,0.8721388221937254,0.284419436673917,0.40539028929622656,0.3194344845942963,0.3214199017696404,0.5342042009348952,0.4408852700788861,0.399375436148022,0.4205608953422695,0.5722674398151659,0.4851063485774612,0.5873660688870909;51
0.341430774352431,0.34148239092071386,0.33877716099070154,0.33907193719479073,0.0037567207435643653,0.8388453824963684,0.24677702151778808,0.31250065477359096,0.1708314167268133,-0.003610940961452303,0.3508493939202945,0.34849266925039146,0.3648367667947111,0.36219079191771025,0.003909788265394904,0.7928412364483186,0.2534788145151369,0.3031712607957968,0.23688686453033392,0.006982736539418298,0.3222742650657404,0.31973319984267584,0.3094129561153296,0.3070672396999231,0.003606922069925613,0.8214061622485052,0.2190592899499172,0.2642431355871196,0.21569309082488042,0.0021501345226540964,0.33381428087092563,0.33136898757339506,0.3253412884733873,0.32303018173187514,0.0034820173374601727,0.792429935568547,0.20424128056840082,0.26796321938435236,0.22924445479807465,0.021333932678832806,0.6401842824559253,0.4443176234386062,0.45107836874810014,0.46748229246321227,0.6185322794563275,0.07412357841775975,0.07835774460450477,0.08655872421375532,-0.03014805518282389,0.05186904911183218,0.5791322020788507,0.2629641929482598;53
0.3587979375346796,0.3587311211195113,0.0858880698607716,0.08588595355753072,0.004858283701639722,0.8628199719125194,0.01956295583379596,0.0689959587193352,0.2830678522612057,0.1375646249117103,0.37876499908885475,0.37871595300568855,0.12494871200731579,0.1252466413186138,0.003901796963582077,0.8723767647438048,0.039858700288872825,0.09965525116872218,0.2985163624291214,0.1434535027386346,0.37112681541899006,0.3711381884273254,0.10544681471032687,0.10610014107942034,0.003385476812554677,0.9021915396551828,0.03215506980526168,0.09177805324891505,0.2596892826365768,0.15059753583964888,0.38036884494527834,0.38044604569248075,0.12123286831609673,0.12174729407098468,0.0033989116526094215,0.8706823326003637,0.03681374410117705,0.09737803337935988,0.2874284781761023,0.15140581273061865,0.7389729817670794,0.5255574028780634,0.2158557991188912,0.7207637397656954,0.4419960320970013,0.6114378913366003,-0.019605008426602344,0.5123560869800816,0.1656289847224263,0.40947348614303647,0.7698156038864205,0.5490719127719023;55
0.45702414635033756,0.4570293045865018,0.05178547870521504,0.051813433276875105,0.018264470618493206,0.6480755829883367,0.0034620247340975243,0.00998288536027103,0.5733875458362001,0.3454423449110225,0.45743942056891246,0.45722611972006244,0.0530796862496643,0.05256210183778194,0.015043878176317292,0.6528284492486309,0.004450258174929411,0.01135270298582944,0.5745896095011653,0.4407259678821353,0.45752845599057035,0.45732439551683474,0.04940518786799533,0.049069624001910415,0.01739498952284257,0.6430384639325234,0.003204516522714322,0.00917039693497408,0.6181424849380963,0.46712516371745993,0.4575770688528085,0.45736808130386253,0.05025074800383604,0.04985819749630117,0.013916172252365985,0.6518503057151577,0.0038592208491190086,0.00842942298833006,0.5822824693938108,0.46324597842800663,0.7550285602437207,0.3296196308405252,0.5992354752416815,0.3084543604342973,0.8522316104735844,0.6857895683790382,0.7639585641785573,0.6410766436120249,0.19244279027652342,0.47511328967022864,0.7473135035396979,0.5717029534240219;57
0.4906653607199278,0.4906704911486552,0.07036306616583189,0.07039640916801747,0.021978699651705017,0.6345017287352128,0.003876388052455189,0.007945109702553717,0.6667181146924122,0.2880754510430024,0.4910607185357802,0.4909082990073072,0.07121318381013338,0.07078881923659634,0.017310180646596517,0.6436602733652478,0.004776901644095334,0.00943181430378379,0.6610479336315488,0.3896063245231137,0.4910098890646428,0.4908652375751631,0.06760199499247438,0.06740897935411276,0.020455833767419752,0.6295023097968969,0.003457648988743712,0.007126607804500645,0.7121278995845455,0.3977075905206287,0.49122056661564173,0.49107124725273354,0.06772649848695395,0.06744442082914162,0.016177222760792764,0.6423724341469096,0.0041542311135883015,0.006553140494596526,0.6712632098937376,0.4086420486080111,0.7604027845536304,0.3460288598620189,0.5918618015803545,0.32197430134895616,0.870479156218576,0.6891744149167542,0.7607382245352237,0.6194063668391537,0.20518416205846016,0.4636170056211664,0.7212881708222459,0.5224775663041914;59
